Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.01	100	10.0	0.5	30	0	0.08
[784, 30, 10]	0.01	100	10.0	0.9	10	0	0.08
[784, 30, 10]	0.01	100	10.0	0.9	30	0	0.08
[784, 30, 10]	0.01	100	100.0	0.0	10	0	0.11
[784, 30, 10]	0.01	100	100.0	0.0	30	0	0.11
[784, 30, 10]	0.01	100	100.0	0.1	10	0	0.08
[784, 30, 10]	0.01	100	100.0	0.1	30	0	0.08
[784, 30, 10]	0.01	100	100.0	0.5	10	0	0.08
[784, 30, 10]	0.01	100	100.0	0.5	30	0	0.08
[784, 30, 10]	0.01	100	100.0	0.9	10	0	0.08
[784, 30, 10]	0.01	100	100.0	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.0	10	0	0.13
[784, 30, 10]	0.01	1000	0.0	0.0	30	0	0.14
[784, 30, 10]	0.01	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.0	10	0	0.16
[784, 30, 10]	0.01	1000	0.01	0.0	30	0	0.13
[784, 30, 10]	0.01	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.0	10	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.0	30	0	0.15
[784, 30, 10]	0.01	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.0	10	0	0.13
[784, 30, 10]	0.01	1000	1.0	0.0	30	0	0.15
[784, 30, 10]	0.01	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.0	10	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.0	30	0	0.13
[784, 30, 10]	0.01	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	10.0	0.9	30	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.0	10	0	0.14
[784, 30, 10]	0.01	1000	100.0	0.0	30	0	0.16
[784, 30, 10]	0.01	1000	100.0	0.1	10	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.1	30	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.5	10	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.5	30	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.9	10	0	0.08
[784, 30, 10]	0.01	1000	100.0	0.9	30	0	0.08
[784, 30, 10]	0.05	10	0.0	0.0	10	0	0.14
[784, 30, 10]	0.05	10	0.0	0.0	30	0	0.25
[784, 30, 10]	0.05	10	0.0	0.1	10	0	0.08
[784, 30, 10]	0.05	10	0.0	0.1	30	0	0.08
[784, 30, 10]	0.05	10	0.0	0.5	10	0	0.08
[784, 30, 10]	0.05	10	0.0	0.5	30	0	0.08
[784, 30, 10]	0.05	10	0.0	0.9	10	0	0.08
[784, 30, 10]	0.05	10	0.0	0.9	30	0	0.08
[784, 30, 10]	0.05	10	0.01	0.0	10	0	0.17
[784, 30, 10]	0.05	10	0.01	0.0	30	0	0.31
[784, 30, 10]	0.05	10	0.01	0.1	10	0	0.08
[784, 30, 10]	0.05	10	0.01	0.1	30	0	0.08
[784, 30, 10]	0.05	10	0.01	0.5	10	0	0.08
[784, 30, 10]	0.05	10	0.01	0.5	30	0	0.08
[784, 30, 10]	0.05	10	0.01	0.9	10	0	0.08
[784, 30, 10]	0.05	10	0.01	0.9	30	0	0.08
[784, 30, 10]	0.05	10	0.1	0.0	10	0	0.15
[784, 30, 10]	0.05	10	0.1	0.0	30	0	0.3
[784, 30, 10]	0.05	10	0.1	0.1	10	0	0.08
[784, 30, 10]	0.05	10	0.1	0.1	30	0	0.08
[784, 30, 10]	0.05	10	0.1	0.5	10	0	0.08
[784, 30, 10]	0.05	10	0.1	0.5	30	0	0.08
[784, 30, 10]	0.05	10	0.1	0.9	10	0	0.08
[784, 30, 10]	0.05	10	0.1	0.9	30	0	0.08
[784, 30, 10]	0.05	10	1.0	0.0	10	0	0.06
[784, 30, 10]	0.05	10	1.0	0.0	30	0	0.29
[784, 30, 10]	0.05	10	1.0	0.1	10	0	0.08
[784, 30, 10]	0.05	10	1.0	0.1	30	0	0.08
[784, 30, 10]	0.05	10	1.0	0.5	10	0	0.08
[784, 30, 10]	0.05	10	1.0	0.5	30	0	0.08
[784, 30, 10]	0.05	10	1.0	0.9	10	0	0.08
[784, 30, 10]	0.05	10	1.0	0.9	30	0	0.08
[784, 30, 10]	0.05	10	10.0	0.0	10	0	0.13
[784, 30, 10]	0.05	10	10.0	0.0	30	0	0.15
[784, 30, 10]	0.05	10	10.0	0.1	10	0	0.08
[784, 30, 10]	0.05	10	10.0	0.1	30	0	0.08
[784, 30, 10]	0.05	10	10.0	0.5	10	0	0.08
[784, 30, 10]	0.05	10	10.0	0.5	30	0	0.08
[784, 30, 10]	0.05	10	10.0	0.9	10	0	0.08
[784, 30, 10]	0.05	10	10.0	0.9	30	0	0.08
[784, 30, 10]	0.05	10	100.0	0.0	10	0	0.14
[784, 30, 10]	0.05	10	100.0	0.0	30	0	0.15
[784, 30, 10]	0.05	10	100.0	0.1	10	0	0.08
[784, 30, 10]	0.05	10	100.0	0.1	30	0	0.08
[784, 30, 10]	0.05	10	100.0	0.5	10	0	0.08
[784, 30, 10]	0.05	10	100.0	0.5	30	0	0.08
[784, 30, 10]	0.05	10	100.0	0.9	10	0	0.08
[784, 30, 10]	0.05	10	100.0	0.9	30	0	0.08
[784, 30, 10]	0.05	100	0.0	0.0	10	0	0.17
[784, 30, 10]	0.05	100	0.0	0.0	30	0	0.28
[784, 30, 10]	0.05	100	0.0	0.1	10	0	0.08
[784, 30, 10]	0.05	100	0.0	0.1	30	0	0.08
[784, 30, 10]	0.05	100	0.0	0.5	10	0	0.08
[784, 30, 10]	0.05	100	0.0	0.5	30	0	0.08
[784, 30, 10]	0.05	100	0.0	0.9	10	0	0.08
[784, 30, 10]	0.05	100	0.0	0.9	30	0	0.08
[784, 30, 10]	0.05	100	0.01	0.0	10	0	0.1
[784, 30, 10]	0.05	100	0.01	0.0	30	0	0.3
[784, 30, 10]	0.05	100	0.01	0.1	10	0	0.08
[784, 30, 10]	0.05	100	0.01	0.1	30	0	0.08
[784, 30, 10]	0.05	100	0.01	0.5	10	0	0.08
[784, 30, 10]	0.05	100	0.01	0.5	30	0	0.08
[784, 30, 10]	0.05	100	0.01	0.9	10	0	0.08
[784, 30, 10]	0.05	100	0.01	0.9	30	0	0.08
[784, 30, 10]	0.05	100	0.1	0.0	10	0	0.12
[784, 30, 10]	0.05	100	0.1	0.0	30	0	0.36
[784, 30, 10]	0.05	100	0.1	0.1	10	0	0.08
[784, 30, 10]	0.05	100	0.1	0.1	30	0	0.08
[784, 30, 10]	0.05	100	0.1	0.5	10	0	0.08
[784, 30, 10]	0.05	100	0.1	0.5	30	0	0.08
[784, 30, 10]	0.05	100	0.1	0.9	10	0	0.08
[784, 30, 10]	0.05	100	0.1	0.9	30	0	0.08
[784, 30, 10]	0.05	100	1.0	0.0	10	0	0.15
[784, 30, 10]	0.05	100	1.0	0.0	30	0	0.34
[784, 30, 10]	0.05	100	1.0	0.1	10	0	0.08
[784, 30, 10]	0.05	100	1.0	0.1	30	0	0.08
[784, 30, 10]	0.05	100	1.0	0.5	10	0	0.08
[784, 30, 10]	0.05	100	1.0	0.5	30	0	0.08
[784, 30, 10]	0.05	100	1.0	0.9	10	0	0.08
[784, 30, 10]	0.05	100	1.0	0.9	30	0	0.08
[784, 30, 10]	0.05	100	10.0	0.0	10	0	0.12
[784, 30, 10]	0.05	100	10.0	0.0	30	0	0.25
[784, 30, 10]	0.05	100	10.0	0.1	10	0	0.08
[784, 30, 10]	0.05	100	10.0	0.1	30	0	0.08
[784, 30, 10]	0.05	100	10.0	0.5	10	0	0.08
[784, 30, 10]	0.05	100	10.0	0.5	30	0	0.08
[784, 30, 10]	0.05	100	10.0	0.9	10	0	0.08
[784, 30, 10]	0.05	100	10.0	0.9	30	0	0.08
[784, 30, 10]	0.05	100	100.0	0.0	10	0	0.1
[784, 30, 10]	0.05	100	100.0	0.0	30	0	0.15
[784, 30, 10]	0.05	100	100.0	0.1	10	0	0.08
[784, 30, 10]	0.05	100	100.0	0.1	30	0	0.08
[784, 30, 10]	0.05	100	100.0	0.5	10	0	0.08
[784, 30, 10]	0.05	100	100.0	0.5	30	0	0.08
[784, 30, 10]	0.05	100	100.0	0.9	10	0	0.08
[784, 30, 10]	0.05	100	100.0	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.0	10	0	0.16
[784, 30, 10]	0.05	1000	0.0	0.0	30	0	0.35
[784, 30, 10]	0.05	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.0	10	0	0.2
[784, 30, 10]	0.05	1000	0.01	0.0	30	0	0.31
[784, 30, 10]	0.05	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.0	10	0	0.11
[784, 30, 10]	0.05	1000	0.1	0.0	30	0	0.42
[784, 30, 10]	0.05	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	1.0	0.0	10	0	0.15
[784, 30, 10]	0.05	1000	1.0	0.0	30	0	0.42
[784, 30, 10]	0.05	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	1.0	0.1	30	0	0.08
