Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.1	1000	100.0	0.0	10	0	0.17
[784, 30, 10]	0.1	1000	100.0	0.0	30	0	0.51
[784, 30, 10]	0.1	1000	100.0	0.1	10	0	0.08
[784, 30, 10]	0.1	1000	100.0	0.1	30	0	0.08
[784, 30, 10]	0.1	1000	100.0	0.5	10	0	0.08
[784, 30, 10]	0.1	1000	100.0	0.5	30	0	0.08
[784, 30, 10]	0.1	1000	100.0	0.9	10	0	0.08
[784, 30, 10]	0.1	1000	100.0	0.9	30	0	0.08
[784, 30, 10]	0.5	10	0.0	0.0	10	0	0.62
[784, 30, 10]	0.5	10	0.0	0.0	30	0	0.69
[784, 30, 10]	0.5	10	0.0	0.1	10	0	0.08
[784, 30, 10]	0.5	10	0.0	0.1	30	0	0.08
[784, 30, 10]	0.5	10	0.0	0.5	10	0	0.08
[784, 30, 10]	0.5	10	0.0	0.5	30	0	0.08
[784, 30, 10]	0.5	10	0.0	0.9	10	0	0.08
[784, 30, 10]	0.5	10	0.0	0.9	30	0	0.08
[784, 30, 10]	0.5	10	0.01	0.0	10	0	0.64
[784, 30, 10]	0.5	10	0.01	0.0	30	0	0.72
[784, 30, 10]	0.5	10	0.01	0.1	10	0	0.08
[784, 30, 10]	0.5	10	0.01	0.1	30	0	0.08
[784, 30, 10]	0.5	10	0.01	0.5	10	0	0.08
[784, 30, 10]	0.5	10	0.01	0.5	30	0	0.08
[784, 30, 10]	0.5	10	0.01	0.9	10	0	0.08
[784, 30, 10]	0.5	10	0.01	0.9	30	0	0.08
[784, 30, 10]	0.5	10	0.1	0.0	10	0	0.6
[784, 30, 10]	0.5	10	0.1	0.0	30	0	0.74
[784, 30, 10]	0.5	10	0.1	0.1	10	0	0.08
[784, 30, 10]	0.5	10	0.1	0.1	30	0	0.08
[784, 30, 10]	0.5	10	0.1	0.5	10	0	0.08
[784, 30, 10]	0.5	10	0.1	0.5	30	0	0.08
[784, 30, 10]	0.5	10	0.1	0.9	10	0	0.08
[784, 30, 10]	0.5	10	0.1	0.9	30	0	0.08
[784, 30, 10]	0.5	10	1.0	0.0	10	0	0.49
[784, 30, 10]	0.5	10	1.0	0.0	30	0	0.46
[784, 30, 10]	0.5	10	1.0	0.1	10	0	0.08
[784, 30, 10]	0.5	10	1.0	0.1	30	0	0.08
[784, 30, 10]	0.5	10	1.0	0.5	10	0	0.08
[784, 30, 10]	0.5	10	1.0	0.5	30	0	0.08
[784, 30, 10]	0.5	10	1.0	0.9	10	0	0.08
[784, 30, 10]	0.5	10	1.0	0.9	30	0	0.08
[784, 30, 10]	0.5	10	10.0	0.0	10	0	0.15
[784, 30, 10]	0.5	10	10.0	0.0	30	0	0.15
[784, 30, 10]	0.5	10	10.0	0.1	10	0	0.08
[784, 30, 10]	0.5	10	10.0	0.1	30	0	0.08
[784, 30, 10]	0.5	10	10.0	0.5	10	0	0.08
[784, 30, 10]	0.5	10	10.0	0.5	30	0	0.08
[784, 30, 10]	0.5	10	10.0	0.9	10	0	0.08
[784, 30, 10]	0.5	10	10.0	0.9	30	0	0.08
[784, 30, 10]	0.5	10	100.0	0.0	10	0	0.15
[784, 30, 10]	0.5	10	100.0	0.0	30	0	0.15
[784, 30, 10]	0.5	10	100.0	0.1	10	0	0.08
[784, 30, 10]	0.5	10	100.0	0.1	30	0	0.08
[784, 30, 10]	0.5	10	100.0	0.5	10	0	0.08
[784, 30, 10]	0.5	10	100.0	0.5	30	0	0.08
[784, 30, 10]	0.5	10	100.0	0.9	10	0	0.08
[784, 30, 10]	0.5	10	100.0	0.9	30	0	0.08
[784, 30, 10]	0.5	100	0.0	0.0	10	0	0.55
[784, 30, 10]	0.5	100	0.0	0.0	30	0	0.71
[784, 30, 10]	0.5	100	0.0	0.1	10	0	0.08
[784, 30, 10]	0.5	100	0.0	0.1	30	0	0.08
[784, 30, 10]	0.5	100	0.0	0.5	10	0	0.08
[784, 30, 10]	0.5	100	0.0	0.5	30	0	0.08
[784, 30, 10]	0.5	100	0.0	0.9	10	0	0.08
[784, 30, 10]	0.5	100	0.0	0.9	30	0	0.08
[784, 30, 10]	0.5	100	0.01	0.0	10	0	0.62
[784, 30, 10]	0.5	100	0.01	0.0	30	0	0.68
[784, 30, 10]	0.5	100	0.01	0.1	10	0	0.08
[784, 30, 10]	0.5	100	0.01	0.1	30	0	0.08
[784, 30, 10]	0.5	100	0.01	0.5	10	0	0.08
[784, 30, 10]	0.5	100	0.01	0.5	30	0	0.08
[784, 30, 10]	0.5	100	0.01	0.9	10	0	0.08
[784, 30, 10]	0.5	100	0.01	0.9	30	0	0.08
[784, 30, 10]	0.5	100	0.1	0.0	10	0	0.53
[784, 30, 10]	0.5	100	0.1	0.0	30	0	0.73
[784, 30, 10]	0.5	100	0.1	0.1	10	0	0.08
[784, 30, 10]	0.5	100	0.1	0.1	30	0	0.08
[784, 30, 10]	0.5	100	0.1	0.5	10	0	0.08
[784, 30, 10]	0.5	100	0.1	0.5	30	0	0.08
[784, 30, 10]	0.5	100	0.1	0.9	10	0	0.08
[784, 30, 10]	0.5	100	0.1	0.9	30	0	0.08
[784, 30, 10]	0.5	100	1.0	0.0	10	0	0.6
[784, 30, 10]	0.5	100	1.0	0.0	30	0	0.68
[784, 30, 10]	0.5	100	1.0	0.1	10	0	0.08
[784, 30, 10]	0.5	100	1.0	0.1	30	0	0.08
[784, 30, 10]	0.5	100	1.0	0.5	10	0	0.08
[784, 30, 10]	0.5	100	1.0	0.5	30	0	0.08
[784, 30, 10]	0.5	100	1.0	0.9	10	0	0.08
[784, 30, 10]	0.5	100	1.0	0.9	30	0	0.08
[784, 30, 10]	0.5	100	10.0	0.0	10	0	0.53
[784, 30, 10]	0.5	100	10.0	0.0	30	0	0.46
[784, 30, 10]	0.5	100	10.0	0.1	10	0	0.08
[784, 30, 10]	0.5	100	10.0	0.1	30	0	0.08
[784, 30, 10]	0.5	100	10.0	0.5	10	0	0.08
[784, 30, 10]	0.5	100	10.0	0.5	30	0	0.08
[784, 30, 10]	0.5	100	10.0	0.9	10	0	0.08
[784, 30, 10]	0.5	100	10.0	0.9	30	0	0.08
[784, 30, 10]	0.5	100	100.0	0.0	10	0	0.15
[784, 30, 10]	0.5	100	100.0	0.0	30	0	0.15
[784, 30, 10]	0.5	100	100.0	0.1	10	0	0.08
[784, 30, 10]	0.5	100	100.0	0.1	30	0	0.08
[784, 30, 10]	0.5	100	100.0	0.5	10	0	0.08
[784, 30, 10]	0.5	100	100.0	0.5	30	0	0.08
[784, 30, 10]	0.5	100	100.0	0.9	10	0	0.08
[784, 30, 10]	0.5	100	100.0	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.0	10	0	0.52
[784, 30, 10]	0.5	1000	0.0	0.0	30	0	0.71
[784, 30, 10]	0.5	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.0	10	0	0.57
[784, 30, 10]	0.5	1000	0.01	0.0	30	0	0.67
[784, 30, 10]	0.5	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.0	10	0	0.59
[784, 30, 10]	0.5	1000	0.1	0.0	30	0	0.71
[784, 30, 10]	0.5	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.0	10	0	0.61
[784, 30, 10]	0.5	1000	1.0	0.0	30	0	0.67
[784, 30, 10]	0.5	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.0	10	0	0.47
[784, 30, 10]	0.5	1000	10.0	0.0	30	0	0.7
[784, 30, 10]	0.5	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	10.0	0.9	30	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.0	10	0	0.46
[784, 30, 10]	0.5	1000	100.0	0.0	30	0	0.43
[784, 30, 10]	0.5	1000	100.0	0.1	10	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.1	30	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.5	10	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.5	30	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.9	10	0	0.08
[784, 30, 10]	0.5	1000	100.0	0.9	30	0	0.08
[784, 30, 10]	1.0	10	0.0	0.0	10	0	0.68
[784, 30, 10]	1.0	10	0.0	0.0	30	0	0.77
[784, 30, 10]	1.0	10	0.0	0.1	10	0	0.08
[784, 30, 10]	1.0	10	0.0	0.1	30	0	0.08
[784, 30, 10]	1.0	10	0.0	0.5	10	0	0.08
[784, 30, 10]	1.0	10	0.0	0.5	30	0	0.08
[784, 30, 10]	1.0	10	0.0	0.9	10	0	0.08
[784, 30, 10]	1.0	10	0.0	0.9	30	0	0.08
[784, 30, 10]	1.0	10	0.01	0.0	10	0	0.67
[784, 30, 10]	1.0	10	0.01	0.0	30	0	0.77
[784, 30, 10]	1.0	10	0.01	0.1	10	0	0.08
[784, 30, 10]	1.0	10	0.01	0.1	30	0	0.08
[784, 30, 10]	1.0	10	0.01	0.5	10	0	0.08
[784, 30, 10]	1.0	10	0.01	0.5	30	0	0.08
[784, 30, 10]	1.0	10	0.01	0.9	10	0	0.08
[784, 30, 10]	1.0	10	0.01	0.9	30	0	0.08
[784, 30, 10]	1.0	10	0.1	0.0	10	0	0.74
[784, 30, 10]	1.0	10	0.1	0.0	30	0	0.73
[784, 30, 10]	1.0	10	0.1	0.1	10	0	0.08
[784, 30, 10]	1.0	10	0.1	0.1	30	0	0.08
[784, 30, 10]	1.0	10	0.1	0.5	10	0	0.08
[784, 30, 10]	1.0	10	0.1	0.5	30	0	0.08
[784, 30, 10]	1.0	10	0.1	0.9	10	0	0.08
[784, 30, 10]	1.0	10	0.1	0.9	30	0	0.08
[784, 30, 10]	1.0	10	1.0	0.0	10	0	0.55
[784, 30, 10]	1.0	10	1.0	0.0	30	0	0.41
[784, 30, 10]	1.0	10	1.0	0.1	10	0	0.08
[784, 30, 10]	1.0	10	1.0	0.1	30	0	0.08
[784, 30, 10]	1.0	10	1.0	0.5	10	0	0.08
[784, 30, 10]	1.0	10	1.0	0.5	30	0	0.08
[784, 30, 10]	1.0	10	1.0	0.9	10	0	0.08
[784, 30, 10]	1.0	10	1.0	0.9	30	0	0.08
[784, 30, 10]	1.0	10	10.0	0.0	10	0	0.15
[784, 30, 10]	1.0	10	10.0	0.0	30	0	0.15
[784, 30, 10]	1.0	10	10.0	0.1	10	0	0.08
[784, 30, 10]	1.0	10	10.0	0.1	30	0	0.08
[784, 30, 10]	1.0	10	10.0	0.5	10	0	0.08
[784, 30, 10]	1.0	10	10.0	0.5	30	0	0.08
[784, 30, 10]	1.0	10	10.0	0.9	10	0	0.08
[784, 30, 10]	1.0	10	10.0	0.9	30	0	0.08
[784, 30, 10]	1.0	10	100.0	0.0	10	0	0.15
[784, 30, 10]	1.0	10	100.0	0.0	30	0	0.15
[784, 30, 10]	1.0	10	100.0	0.1	10	0	0.08
[784, 30, 10]	1.0	10	100.0	0.1	30	0	0.08
[784, 30, 10]	1.0	10	100.0	0.5	10	0	0.08
[784, 30, 10]	1.0	10	100.0	0.5	30	0	0.08
[784, 30, 10]	1.0	10	100.0	0.9	10	0	0.08
[784, 30, 10]	1.0	10	100.0	0.9	30	0	0.08
[784, 30, 10]	1.0	100	0.0	0.0	10	0	0.66
[784, 30, 10]	1.0	100	0.0	0.0	30	0	0.8
[784, 30, 10]	1.0	100	0.0	0.1	10	0	0.08
[784, 30, 10]	1.0	100	0.0	0.1	30	0	0.08
[784, 30, 10]	1.0	100	0.0	0.5	10	0	0.08
[784, 30, 10]	1.0	100	0.0	0.5	30	0	0.08
[784, 30, 10]	1.0	100	0.0	0.9	10	0	0.08
[784, 30, 10]	1.0	100	0.0	0.9	30	0	0.08
[784, 30, 10]	1.0	100	0.01	0.0	10	0	0.65
[784, 30, 10]	1.0	100	0.01	0.0	30	0	0.74
[784, 30, 10]	1.0	100	0.01	0.1	10	0	0.08
[784, 30, 10]	1.0	100	0.01	0.1	30	0	0.08
[784, 30, 10]	1.0	100	0.01	0.5	10	0	0.08
[784, 30, 10]	1.0	100	0.01	0.5	30	0	0.08
[784, 30, 10]	1.0	100	0.01	0.9	10	0	0.08
[784, 30, 10]	1.0	100	0.01	0.9	30	0	0.08
[784, 30, 10]	1.0	100	0.1	0.0	10	0	0.66
[784, 30, 10]	1.0	100	0.1	0.0	30	0	0.78
[784, 30, 10]	1.0	100	0.1	0.1	10	0	0.08
[784, 30, 10]	1.0	100	0.1	0.1	30	0	0.08
[784, 30, 10]	1.0	100	0.1	0.5	10	0	0.08
[784, 30, 10]	1.0	100	0.1	0.5	30	0	0.08
[784, 30, 10]	1.0	100	0.1	0.9	10	0	0.08
[784, 30, 10]	1.0	100	0.1	0.9	30	0	0.08
[784, 30, 10]	1.0	100	1.0	0.0	10	0	0.71
[784, 30, 10]	1.0	100	1.0	0.0	30	0	0.76
[784, 30, 10]	1.0	100	1.0	0.1	10	0	0.08
[784, 30, 10]	1.0	100	1.0	0.1	30	0	0.08
[784, 30, 10]	1.0	100	1.0	0.5	10	0	0.08
[784, 30, 10]	1.0	100	1.0	0.5	30	0	0.08
[784, 30, 10]	1.0	100	1.0	0.9	10	0	0.08
[784, 30, 10]	1.0	100	1.0	0.9	30	0	0.08
[784, 30, 10]	1.0	100	10.0	0.0	10	0	0.6
[784, 30, 10]	1.0	100	10.0	0.0	30	0	0.38
[784, 30, 10]	1.0	100	10.0	0.1	10	0	0.08
[784, 30, 10]	1.0	100	10.0	0.1	30	0	0.08
[784, 30, 10]	1.0	100	10.0	0.5	10	0	0.08
[784, 30, 10]	1.0	100	10.0	0.5	30	0	0.08
[784, 30, 10]	1.0	100	10.0	0.9	10	0	0.08
[784, 30, 10]	1.0	100	10.0	0.9	30	0	0.08
[784, 30, 10]	1.0	100	100.0	0.0	10	0	0.15
[784, 30, 10]	1.0	100	100.0	0.0	30	0	0.15
[784, 30, 10]	1.0	100	100.0	0.1	10	0	0.08
[784, 30, 10]	1.0	100	100.0	0.1	30	0	0.08
[784, 30, 10]	1.0	100	100.0	0.5	10	0	0.08
[784, 30, 10]	1.0	100	100.0	0.5	30	0	0.08
[784, 30, 10]	1.0	100	100.0	0.9	10	0	0.08
[784, 30, 10]	1.0	100	100.0	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.0	10	0	0.57
[784, 30, 10]	1.0	1000	0.0	0.0	30	0	0.77
[784, 30, 10]	1.0	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.0	10	0	0.54
[784, 30, 10]	1.0	1000	0.01	0.0	30	0	0.71
[784, 30, 10]	1.0	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.0	10	0	0.57
[784, 30, 10]	1.0	1000	0.1	0.0	30	0	0.72
[784, 30, 10]	1.0	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.0	10	0	0.56
[784, 30, 10]	1.0	1000	1.0	0.0	30	0	0.76
[784, 30, 10]	1.0	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.0	10	0	0.55
[784, 30, 10]	1.0	1000	10.0	0.0	30	0	0.73
[784, 30, 10]	1.0	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	10.0	0.9	30	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.0	10	0	0.32
[784, 30, 10]	1.0	1000	100.0	0.0	30	0	0.39
[784, 30, 10]	1.0	1000	100.0	0.1	10	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.1	30	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.5	10	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.5	30	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.9	10	0	0.08
[784, 30, 10]	1.0	1000	100.0	0.9	30	0	0.08
[784, 30, 10]	5.0	10	0.0	0.0	10	0	0.79
[784, 30, 10]	5.0	10	0.0	0.0	30	0	0.88
[784, 30, 10]	5.0	10	0.0	0.1	10	0	0.08
[784, 30, 10]	5.0	10	0.0	0.1	30	0	0.08
[784, 30, 10]	5.0	10	0.0	0.5	10	0	0.08
[784, 30, 10]	5.0	10	0.0	0.5	30	0	0.08
[784, 30, 10]	5.0	10	0.0	0.9	10	0	0.08
[784, 30, 10]	5.0	10	0.0	0.9	30	0	0.08
[784, 30, 10]	5.0	10	0.01	0.0	10	0	0.82
[784, 30, 10]	5.0	10	0.01	0.0	30	0	0.89
[784, 30, 10]	5.0	10	0.01	0.1	10	0	0.08
[784, 30, 10]	5.0	10	0.01	0.1	30	0	0.08
[784, 30, 10]	5.0	10	0.01	0.5	10	0	0.08
[784, 30, 10]	5.0	10	0.01	0.5	30	0	0.08
[784, 30, 10]	5.0	10	0.01	0.9	10	0	0.08
[784, 30, 10]	5.0	10	0.01	0.9	30	0	0.08
[784, 30, 10]	5.0	10	0.1	0.0	10	0	0.79
[784, 30, 10]	5.0	10	0.1	0.0	30	0	0.85
[784, 30, 10]	5.0	10	0.1	0.1	10	0	0.08
[784, 30, 10]	5.0	10	0.1	0.1	30	0	0.08
[784, 30, 10]	5.0	10	0.1	0.5	10	0	0.08
[784, 30, 10]	5.0	10	0.1	0.5	30	0	0.08
[784, 30, 10]	5.0	10	0.1	0.9	10	0	0.08
[784, 30, 10]	5.0	10	0.1	0.9	30	0	0.08
[784, 30, 10]	5.0	10	1.0	0.0	10	0	0.41
[784, 30, 10]	5.0	10	1.0	0.0	30	0	0.43
[784, 30, 10]	5.0	10	1.0	0.1	10	0	0.08
[784, 30, 10]	5.0	10	1.0	0.1	30	0	0.08
[784, 30, 10]	5.0	10	1.0	0.5	10	0	0.08
[784, 30, 10]	5.0	10	1.0	0.5	30	0	0.08
[784, 30, 10]	5.0	10	1.0	0.9	10	0	0.08
[784, 30, 10]	5.0	10	1.0	0.9	30	0	0.08
[784, 30, 10]	5.0	10	10.0	0.0	10	0	0.14
[784, 30, 10]	5.0	10	10.0	0.0	30	0	0.14
[784, 30, 10]	5.0	10	10.0	0.1	10	0	0.08
[784, 30, 10]	5.0	10	10.0	0.1	30	0	0.08
[784, 30, 10]	5.0	10	10.0	0.5	10	0	0.08
[784, 30, 10]	5.0	10	10.0	0.5	30	0	0.08
[784, 30, 10]	5.0	10	10.0	0.9	10	0	0.08
[784, 30, 10]	5.0	10	10.0	0.9	30	0	0.08
[784, 30, 10]	5.0	10	100.0	0.0	10	0	0.15
[784, 30, 10]	5.0	10	100.0	0.0	30	0	0.15
[784, 30, 10]	5.0	10	100.0	0.1	10	0	0.08
[784, 30, 10]	5.0	10	100.0	0.1	30	0	0.08
[784, 30, 10]	5.0	10	100.0	0.5	10	0	0.08
[784, 30, 10]	5.0	10	100.0	0.5	30	0	0.08
[784, 30, 10]	5.0	10	100.0	0.9	10	0	0.08
[784, 30, 10]	5.0	10	100.0	0.9	30	0	0.08
[784, 30, 10]	5.0	100	0.0	0.0	10	0	0.81
[784, 30, 10]	5.0	100	0.0	0.0	30	0	0.88
[784, 30, 10]	5.0	100	0.0	0.1	10	0	0.08
[784, 30, 10]	5.0	100	0.0	0.1	30	0	0.08
[784, 30, 10]	5.0	100	0.0	0.5	10	0	0.08
[784, 30, 10]	5.0	100	0.0	0.5	30	0	0.08
[784, 30, 10]	5.0	100	0.0	0.9	10	0	0.08
[784, 30, 10]	5.0	100	0.0	0.9	30	0	0.08
[784, 30, 10]	5.0	100	0.01	0.0	10	0	0.78
[784, 30, 10]	5.0	100	0.01	0.0	30	0	0.87
[784, 30, 10]	5.0	100	0.01	0.1	10	0	0.08
[784, 30, 10]	5.0	100	0.01	0.1	30	0	0.08
[784, 30, 10]	5.0	100	0.01	0.5	10	0	0.08
[784, 30, 10]	5.0	100	0.01	0.5	30	0	0.08
[784, 30, 10]	5.0	100	0.01	0.9	10	0	0.08
[784, 30, 10]	5.0	100	0.01	0.9	30	0	0.08
[784, 30, 10]	5.0	100	0.1	0.0	10	0	0.78
[784, 30, 10]	5.0	100	0.1	0.0	30	0	0.88
[784, 30, 10]	5.0	100	0.1	0.1	10	0	0.08
[784, 30, 10]	5.0	100	0.1	0.1	30	0	0.08
[784, 30, 10]	5.0	100	0.1	0.5	10	0	0.08
[784, 30, 10]	5.0	100	0.1	0.5	30	0	0.08
[784, 30, 10]	5.0	100	0.1	0.9	10	0	0.08
[784, 30, 10]	5.0	100	0.1	0.9	30	0	0.08
[784, 30, 10]	5.0	100	1.0	0.0	10	0	0.81
[784, 30, 10]	5.0	100	1.0	0.0	30	0	0.87
[784, 30, 10]	5.0	100	1.0	0.1	10	0	0.08
[784, 30, 10]	5.0	100	1.0	0.1	30	0	0.08
[784, 30, 10]	5.0	100	1.0	0.5	10	0	0.08
[784, 30, 10]	5.0	100	1.0	0.5	30	0	0.08
[784, 30, 10]	5.0	100	1.0	0.9	10	0	0.08
[784, 30, 10]	5.0	100	1.0	0.9	30	0	0.08
[784, 30, 10]	5.0	100	10.0	0.0	10	0	0.38
[784, 30, 10]	5.0	100	10.0	0.0	30	0	0.46
[784, 30, 10]	5.0	100	10.0	0.1	10	0	0.08
[784, 30, 10]	5.0	100	10.0	0.1	30	0	0.08
[784, 30, 10]	5.0	100	10.0	0.5	10	0	0.08
[784, 30, 10]	5.0	100	10.0	0.5	30	0	0.08
[784, 30, 10]	5.0	100	10.0	0.9	10	0	0.08
[784, 30, 10]	5.0	100	10.0	0.9	30	0	0.08
[784, 30, 10]	5.0	100	100.0	0.0	10	0	0.14
[784, 30, 10]	5.0	100	100.0	0.0	30	0	0.14
[784, 30, 10]	5.0	100	100.0	0.1	10	0	0.08
[784, 30, 10]	5.0	100	100.0	0.1	30	0	0.08
[784, 30, 10]	5.0	100	100.0	0.5	10	0	0.08
[784, 30, 10]	5.0	100	100.0	0.5	30	0	0.08
[784, 30, 10]	5.0	100	100.0	0.9	10	0	0.08
[784, 30, 10]	5.0	100	100.0	0.9	30	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.0	10	0	0.18
[784, 30, 10]	5.0	1000	0.0	0.0	30	0	0.2
[784, 30, 10]	5.0	1000	0.0	0.1	10	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.1	30	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.5	10	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.5	30	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.9	10	0	0.08
[784, 30, 10]	5.0	1000	0.0	0.9	30	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.0	10	0	0.14
[784, 30, 10]	5.0	1000	0.01	0.0	30	0	0.33
[784, 30, 10]	5.0	1000	0.01	0.1	10	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.1	30	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.5	10	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.5	30	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.9	10	0	0.08
[784, 30, 10]	5.0	1000	0.01	0.9	30	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.0	10	0	0.14
[784, 30, 10]	5.0	1000	0.1	0.0	30	0	0.45
[784, 30, 10]	5.0	1000	0.1	0.1	10	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.1	30	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.5	10	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.5	30	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.9	10	0	0.08
[784, 30, 10]	5.0	1000	0.1	0.9	30	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.0	10	0	0.15
[784, 30, 10]	5.0	1000	1.0	0.0	30	0	0.27
[784, 30, 10]	5.0	1000	1.0	0.1	10	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.1	30	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	5.0	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	5.0	1000	10.0	0.0	10	0	0.17
[784, 30, 10]	5.0	1000	10.0	0.0	30	0	0.51
[784, 30, 10]	5.0	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	5.0	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	5.0	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	5.0	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	5.0	1000	10.0	0.9	10	0	0.08
